student_id,student_name,age,email,gpa,Difficulty_level,recommended_courses,Course_Subject,College_Name_CIT,College_Name_Crescent,College_Name_Meenakshi,College_Name_Rajalakshmi,College_Name_SIET,College_Name_SRM,course_popularity
1,Gillie Axtens,0.6666666666666661,gaxtens0@slate.com,0.033333333333333326,2,Front end Development,Data Science,True,False,False,False,False,False,126
2,Adrea Witherby,0.33333333333333304,awitherby1@businessweek.com,0.6166666666666666,2,Front end Development,Data Science,False,False,True,False,False,False,126
4,Annetta Stanyland,0.6666666666666661,astanyland3@shop-pro.jp,0.7499999999999999,1,SQL,Data Science,False,False,False,False,True,False,130
5,Ferrel Atack,0.33333333333333304,fatack4@newyorker.com,0.08333333333333337,1,Big Data Analytics,Data Science,False,True,False,False,False,False,138
6,Othella Leece,0.33333333333333304,oleece5@gravatar.com,0.3833333333333332,1,SQL,Data Science,False,False,False,False,True,False,130
7,Kathrine Goldster,0.33333333333333304,kgoldster6@oakley.com,0.35,2,Backend Development,Web Development,False,False,False,False,False,True,117
8,Ethelind Kempton,0.0,ekempton7@desdev.cn,0.16666666666666663,2,Machine Learning,Data Science,False,False,False,True,False,False,126
9,Lanita MacHostie,0.6666666666666661,lmachostie8@amazon.com,0.5499999999999999,1,Front end Development,Web Development,False,False,False,False,True,False,126
11,Kirby Kibby,0.33333333333333304,kkibbya@devhub.com,0.35,1,Big Data Analytics,Data Science,False,False,True,False,False,False,138
12,Hodge Poynser,0.0,hpoynserb@odnoklassniki.ru,0.016666666666666607,2,Front end Development,Data Science,True,False,False,False,False,False,126
13,Elene Trusse,0.0,etrussec@shop-pro.jp,0.4999999999999999,2,Machine Learning,Web Development,False,False,False,False,False,True,126
14,Yale Walklett,0.33333333333333304,ywalklettd@wix.com,0.4833333333333333,0,SQL,Web Development,False,False,False,False,True,False,130
15,Ramon Kilgour,0.0,rkilgoure@cisco.com,0.4666666666666667,1,AWS,Cloud Computing,False,True,False,False,False,False,136
16,Wiley Myford,0.33333333333333304,wmyfordf@csmonitor.com,0.4833333333333333,1,SQL,Data Science,False,False,False,True,False,False,130
